Kilometres;Toyota Aygo 1.1;Dacia Sandero 1.2;Dacia Logan 1.5 dci;Fiat Panda 1.3 d;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Renault Clio III essence 75 ch;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Skoda Fabia 1.4 TDI;Toyota Yaris;Dacia Logan 1.2
121000;20420.414;25805.657;23205.726;20858.898;23880.829;23239.588;26328.531;21030.522;19415.441;22010.468;25612.243;28635.036;22600.558;
122000;20490.748;25917.274;23280.732;20917.236;23937.778;23311.816;26418.742;21119.204;19490.362;22089.976;25677.526;28696.152;22695.356;
123000;20561.082;26028.891;23355.738;20975.574;23994.727;23384.044;26508.953;21207.886;19565.283;22169.484;25742.809;28757.268;22790.154;
124000;20631.416;26140.508;23430.744;21033.912;24051.676;23456.272;26599.164;21296.568;19640.204;22248.992;25808.092;28818.384;22884.952;
125000;20701.75;26252.125;23505.75;21092.25;24108.625;23528.5;26689.375;21385.25;19715.125;22328.5;25873.375;28879.5;22979.75;
126000;20772.084;26363.742;23580.756;21150.588;24165.574;23600.728;26779.586;21473.932;19790.046;22408.008;25938.658;28940.616;23074.548;
127000;20842.418;26475.359;23655.762;21208.926;24222.523;23672.956;26869.797;21562.614;19864.967;22487.516;26003.941;29001.732;23169.346;
128000;20912.752;26586.976;23730.768;21267.264;24279.472;23745.184;26960.008;21651.296;19939.888;22567.024;26069.224;29062.848;23264.144;
129000;20983.086;26698.593;23805.774;21325.602;24336.421;23817.412;27050.219;21739.978;20014.809;22646.532;26134.507;29123.964;23358.942;
130000;21053.42;26810.21;23880.78;21383.94;24393.37;23889.64;27140.43;21828.66;20089.73;22726.04;26199.79;29185.08;23453.74;
131000;21123.754;26921.827;23955.786;21442.278;24450.319;23961.868;27230.641;21917.342;20164.651;22805.548;26265.073;29246.196;23548.538;
132000;21194.088;27033.444;24030.792;21500.616;24507.268;24034.096;27320.852;22006.024;20239.572;22885.056;26330.356;29307.312;23643.336;
133000;21264.422;27145.061;24105.798;21558.954;24564.217;24106.324;27411.063;22094.706;20314.493;22964.564;26395.639;29368.428;23738.134;
134000;21334.756;27256.678;24180.804;21617.292;24621.166;24178.552;27501.274;22183.388;20389.414;23044.072;26460.922;29429.544;23832.932;
135000;21405.09;27368.295;24255.81;21825.63;24678.115;24250.78;27711.485;22272.07;20464.335;23123.58;26646.205;29810.66;23927.73;
136000;21475.424;27479.912;24330.816;21883.968;24735.064;24323.008;27801.696;22360.752;20539.256;23203.088;26711.488;29871.776;24022.528;
137000;21545.758;27591.529;24405.822;21942.306;24792.013;24395.236;27891.907;22449.434;20614.177;23282.596;26776.771;29932.892;24117.326;
138000;21616.092;27703.146;24480.828;22000.644;24848.962;24467.464;27982.118;22538.116;20689.098;23362.104;26842.054;29994.008;24212.124;
139000;21686.426;27814.763;24555.834;22058.982;24905.911;24539.692;28072.329;22626.798;20764.019;23441.612;26907.337;30055.124;24306.922;
140000;21756.76;28026.38;24710.84;22117.32;24962.86;24961.92;28162.54;22715.48;20838.94;23521.12;26972.62;30116.24;24481.72;
141000;22207.094;28487.997;25135.846;22675.658;25519.809;25484.148;28786.751;23304.162;21413.861;23600.628;27571.903;30177.356;24926.518;
142000;22277.428;28599.614;25210.852;22733.996;25576.758;25556.376;28876.962;23392.844;21488.782;23680.136;27637.186;30238.472;25021.316;
143000;22347.762;28711.231;25285.858;22792.334;25633.707;25628.604;28967.173;23481.526;21563.703;23759.644;27702.469;30299.588;25116.114;
144000;22418.096;28822.848;25360.864;22850.672;25690.656;25700.832;29057.384;23570.208;21638.624;23839.152;27767.752;30360.704;25210.912;
145000;22488.43;28934.465;25435.87;22909.01;25747.605;25773.06;29147.595;23658.89;21713.545;23918.66;27833.035;30421.82;25305.71;
146000;22558.764;29046.082;25510.876;22967.348;25804.554;25845.288;29237.806;23747.572;21788.466;23998.168;27898.318;30482.936;25400.508;
147000;22629.098;29157.699;25585.882;23025.686;25861.503;25917.516;29328.017;23836.254;21863.387;24077.676;27963.601;30544.052;25495.306;
148000;22699.432;29269.316;25660.888;23084.024;25918.452;25989.744;29418.228;23924.936;21938.308;24157.184;28028.884;30605.168;25590.104;
149000;22769.766;29380.933;25735.894;23142.362;25975.401;26061.972;29508.439;24013.618;22013.229;24236.692;28094.167;30666.284;25684.902;
150000;22840.1;29492.55;25810.9;23350.7;26232.35;26134.2;29718.65;24302.3;22088.15;24316.2;28279.45;31467.4;25779.7;
151000;22910.434;29604.167;25885.906;23409.038;26289.299;26206.428;29808.861;24390.982;22163.071;24395.708;28344.733;31528.516;25874.498;
152000;22980.768;29715.784;25960.912;23467.376;26346.248;26278.656;29899.072;24479.664;22237.992;24475.216;28410.016;31589.632;25969.296;
153000;23051.102;29827.401;26035.918;23525.714;26403.197;26350.884;29989.283;24568.346;22312.913;24554.724;28475.299;31650.748;26064.094;
154000;23121.436;29939.018;26110.924;23584.052;26460.146;26423.112;30079.494;24657.028;22387.834;24634.232;28540.582;31711.864;26158.892;
155000;23191.77;30050.635;26185.93;23642.39;26517.095;26495.34;30169.705;24745.71;22462.755;24713.74;28605.865;31772.98;26253.69;
156000;23262.104;30162.252;26260.936;23700.728;26574.044;26567.568;30259.916;24834.392;22537.676;24793.248;28671.148;31834.096;26348.488;
157000;23332.438;30273.869;26335.942;23759.066;26630.993;26639.796;30350.127;24923.074;22612.597;24872.756;28736.431;31895.212;26443.286;
158000;23402.772;30385.486;26410.948;23817.404;26687.942;26712.024;30440.338;25011.756;22687.518;24952.264;28801.714;31956.328;26538.084;
159000;23473.106;30497.103;26485.954;23875.742;26744.891;26784.252;30530.549;25100.438;22762.439;25031.772;28866.997;32017.444;26632.882;
160000;23543.44;31208.72;27090.96;23934.08;26801.84;27206.48;30620.76;25189.12;22837.36;25111.28;28932.28;32078.56;27257.68;
161000;23613.774;31320.337;27165.966;23992.418;26858.789;27278.708;30710.971;25277.802;22912.281;25190.788;28997.563;32139.676;27352.478;
162000;23684.108;31431.954;27240.972;24050.756;26915.738;27350.936;30801.182;25366.484;22987.202;25270.296;29062.846;32200.792;27447.276;
163000;23754.442;31543.571;27315.978;24109.094;26972.687;27423.164;30891.393;25455.166;23062.123;25349.804;29128.129;32261.908;27542.074;
164000;23824.776;31655.188;27390.984;24167.432;27029.636;27495.392;30981.604;25543.848;23137.044;25429.312;29193.412;32323.024;27636.872;
165000;23895.11;31766.805;27465.99;24375.77;27086.585;27567.62;31191.815;25632.53;23211.965;25508.82;29378.695;32704.14;27731.67;
166000;23965.444;31878.422;27540.996;24434.108;27143.534;27639.848;31282.026;25721.212;23286.886;25588.328;29443.978;32765.256;27826.468;
167000;24035.778;31990.039;27616.002;24492.446;27200.483;27712.076;31372.237;25809.894;23361.807;25667.836;29509.261;32826.372;27921.266;
168000;24106.112;32101.656;27691.008;24550.784;27257.432;27784.304;31462.448;25898.576;23436.728;25747.344;29574.544;32887.488;28016.064;
169000;24176.446;32213.273;27766.014;24609.122;27314.381;27856.532;31552.659;25987.258;23511.649;25826.852;29639.827;32948.604;28110.862;
170000;24246.78;32324.89;27841.02;24667.46;27371.33;27928.76;31642.87;26075.94;23586.57;25906.36;29705.11;33009.72;28205.66;
171000;24317.114;32436.507;27916.026;24725.798;27428.279;28000.988;31733.081;26164.622;23661.491;25985.868;29770.393;33070.836;28300.458;
172000;24387.448;32548.124;27991.032;24784.136;27485.228;28073.216;31823.292;26253.304;23736.412;26065.376;29835.676;33131.952;28395.256;
173000;24457.782;32659.741;28066.038;24842.474;27542.177;28145.444;31913.503;26341.986;23811.333;26144.884;29900.959;33193.068;28490.054;
174000;24528.116;32771.358;28141.044;24900.812;27599.126;28217.672;32003.714;26430.668;23886.254;26224.392;29966.242;33254.184;28584.852;
175000;24598.45;32882.975;28216.05;24959.15;27656.075;28289.9;32093.925;26519.35;23961.175;26303.9;30031.525;33315.3;28679.65;
176000;24668.784;32994.592;28291.056;25017.488;27713.024;28362.128;32184.136;26608.032;24036.096;26383.408;30096.808;33376.416;28774.448;
177000;24739.118;33106.209;28366.062;25075.826;27769.973;28434.356;32274.347;26696.714;24111.017;26462.916;30162.091;33437.532;28869.246;
178000;24809.452;33217.826;28441.068;25134.164;27826.922;28506.584;32364.558;26785.396;24185.938;26542.424;30227.374;33498.648;28964.044;
179000;24879.786;33329.443;28516.074;25192.502;27883.871;28578.812;32454.769;26874.078;24260.859;26621.932;30292.657;33559.764;29058.842;
180000;25500.12;33541.06;28671.08;25400.84;28640.82;29001.04;33414.98;27662.76;24335.78;26701.44;31227.94;34360.88;29233.64;
181000;25570.454;33652.677;28746.086;25459.178;28697.769;29073.268;33505.191;27751.442;24410.701;26780.948;31293.223;34421.996;29328.438;
182000;25640.788;33764.294;28821.092;25517.516;28754.718;29145.496;33595.402;27840.124;24485.622;26860.456;31358.506;34483.112;29423.236;
183000;25711.122;33875.911;28896.098;25575.854;28811.667;29217.724;33685.613;27928.806;24560.543;26939.964;31423.789;34544.228;29518.034;
184000;25781.456;33987.528;28971.104;25634.192;28868.616;29289.952;33775.824;28017.488;24635.464;27019.472;31489.072;34605.344;29612.832;
185000;25851.79;34099.145;29046.11;25692.53;28925.565;29362.18;33866.035;28106.17;24710.385;27098.98;31554.355;34666.46;29707.63;
186000;25922.124;34210.762;29121.116;25750.868;28982.514;29434.408;33956.246;28194.852;24785.306;27178.488;31619.638;34727.576;29802.428;
187000;25992.458;34322.379;29196.122;25809.206;29039.463;29506.636;34046.457;28283.534;24860.227;27257.996;31684.921;34788.692;29897.226;
