Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Toyota Aygo 1.2 d;Fiat Grande Punto 1.2 e;Fiat Grande Punto 1.3 d;Renault Clio Campus.com e;Renault Clio Campus.com GPL;Renault Clio Campus.com dci;
124000;24973.732;20712.856;21808.632;22682.512;24873.228;21648.952;22161.924;22081.02;1722.36;989.52;1573.56;
125000;25033.375;20776.75;21894.75;22748.5;24974.625;21702.25;22243.875;22138.125;1736.25;997.5;1586.25;
126000;25093.018;20840.644;21980.868;22814.488;25076.022;21755.548;22325.826;22195.23;1750.14;1005.48;1598.94;
127000;25152.661;20904.538;22066.986;22880.476;25177.419;21808.846;22407.777;22252.335;1764.03;1013.46;1611.63;
128000;25212.304;20968.432;22153.104;22946.464;25278.816;21862.144;22489.728;22309.44;1777.92;1021.44;1624.32;
129000;25271.947;21032.326;22239.222;23012.452;25380.213;21915.442;22571.679;22366.545;1791.81;1029.42;1637.01;
130000;25331.59;21096.22;22325.34;23078.44;25481.61;21968.74;22653.63;22423.65;1805.7;1037.4;1649.7;
131000;25391.233;21160.114;22411.458;23144.428;25583.007;22022.038;22735.581;22480.755;1819.59;1045.38;1662.39;
132000;25450.876;21224.008;22497.576;23210.416;25684.404;22075.336;22817.532;22537.86;1833.48;1053.36;1675.08;
133000;25510.519;21287.902;22583.694;23276.404;25785.801;22128.634;22899.483;22594.965;1847.37;1061.34;1687.77;
134000;25570.162;21351.796;22669.812;23342.392;25887.198;22181.932;22981.434;22652.07;1861.26;1069.32;1700.46;
135000;25749.805;21525.69;22755.93;23408.38;25988.595;22235.23;23063.385;22709.175;1875.15;1077.3;1713.15;
136000;25809.448;21589.584;22842.048;23474.368;26089.992;22288.528;23145.336;22766.28;1889.04;1085.28;1725.84;
137000;25869.091;21653.478;22928.166;23540.356;26191.389;22341.826;23227.287;22823.385;1902.93;1093.26;1738.53;
138000;25928.734;21717.372;23014.284;23606.344;26292.786;22395.124;23309.238;22880.49;1916.82;1101.24;1751.22;
139000;25988.377;21781.266;23100.402;23672.332;26394.183;22448.422;23391.189;22937.595;1930.71;1109.22;1763.91;
140000;26048.02;21845.16;23266.52;24088.32;26595.58;22731.72;23473.14;22994.7;1944.6;1117.2;1776.6;
141000;26641.663;22289.054;23702.638;24604.308;27046.977;23165.018;23555.091;23051.805;1958.49;1125.18;1789.29;
142000;26701.306;22352.948;23788.756;24670.296;27148.374;23218.316;23637.042;23108.91;1972.38;1133.16;1801.98;
143000;26760.949;22416.842;23874.874;24736.284;27249.771;23271.614;23718.993;23166.015;1986.27;1141.14;1814.67;
144000;26820.592;22480.736;23960.992;24802.272;27351.168;23324.912;23800.944;23223.12;2000.16;1149.12;1827.36;
145000;26880.235;22544.63;24047.11;24868.26;27452.565;23378.21;23882.895;23280.225;2014.05;1157.1;1840.05;
146000;26939.878;22608.524;24133.228;24934.248;27553.962;23431.508;23964.846;23337.33;2027.94;1165.08;1852.74;
147000;26999.521;22672.418;24219.346;25000.236;27655.359;23484.806;24046.797;23394.435;2041.83;1173.06;1865.43;
148000;27059.164;22736.312;24305.464;25066.224;27756.756;23538.104;24128.748;23451.54;2055.72;1181.04;1878.12;
149000;27118.807;22800.206;24391.582;25132.212;27858.153;23591.402;24210.699;23508.645;2069.61;1189.02;1890.81;
150000;27298.45;22974.1;24477.7;25198.2;27959.55;23644.7;24292.65;23565.75;2083.5;1197.0;1903.5;
151000;27358.093;23037.994;24563.818;25264.188;28060.947;23697.998;24374.601;23622.855;2097.39;1204.98;1916.19;
152000;27417.736;23101.888;24649.936;25330.176;28162.344;23751.296;24456.552;23679.96;2111.28;1212.96;1928.88;
153000;27477.379;23165.782;24736.054;25396.164;28263.741;23804.594;24538.503;23737.065;2125.17;1220.94;1941.57;
154000;27537.022;23229.676;24822.172;25462.152;28365.138;23857.892;24620.454;23794.17;2139.06;1228.92;1954.26;
155000;27596.665;23293.57;24908.29;25528.14;28466.535;23911.19;24702.405;23851.275;2152.95;1236.9;1966.95;
156000;27656.308;23357.464;24994.408;25594.128;28567.932;23964.488;24784.356;23908.38;2166.84;1244.88;1979.64;
157000;27715.951;23421.358;25080.526;25660.116;28669.329;24017.786;24866.307;23965.485;2180.73;1252.86;1992.33;
158000;27775.594;23485.252;25166.644;25726.104;28770.726;24071.084;24948.258;24022.59;2194.62;1260.84;2005.02;
159000;27835.237;23549.146;25252.762;25792.092;28872.123;24124.382;25030.209;24079.695;2208.51;1268.82;2017.71;
160000;27894.88;23613.04;25868.88;26208.08;29573.52;24407.68;25112.16;24136.8;2222.4;1276.8;2030.4;
161000;27954.523;23676.934;25954.998;26274.068;29674.917;24460.978;25194.111;24193.905;2236.29;1284.78;2043.09;
162000;28014.166;23740.828;26041.116;26340.056;29776.314;24514.276;25276.062;24251.01;2250.18;1292.76;2055.78;
163000;28073.809;23804.722;26127.234;26406.044;29877.711;24567.574;25358.013;24308.115;2264.07;1300.74;2068.47;
164000;28133.452;23868.616;26213.352;26472.032;29979.108;24620.872;25439.964;24365.22;2277.96;1308.72;2081.16;
165000;28313.095;24042.51;26299.47;26538.02;30080.505;24674.17;25521.915;24422.325;2291.85;1316.7;2093.85;
166000;28372.738;24106.404;26385.588;26604.008;30181.902;24727.468;25603.866;24479.43;2305.74;1324.68;2106.54;
167000;28432.381;24170.298;26471.706;26669.996;30283.299;24780.766;25685.817;24536.535;2319.63;1332.66;2119.23;
168000;28492.024;24234.192;26557.824;26735.984;30384.696;24834.064;25767.768;24593.64;2333.52;1340.64;2131.92;
169000;28551.667;24298.086;26643.942;26801.972;30486.093;24887.362;25849.719;24650.745;2347.41;1348.62;2144.61;
170000;28611.31;24361.98;26730.06;26867.96;30587.49;24940.66;25931.67;24707.85;2361.3;1356.6;2157.3;
171000;28670.953;24425.874;26816.178;26933.948;30688.887;24993.958;26013.621;24764.955;2375.19;1364.58;2169.99;
172000;28730.596;24489.768;26902.296;26999.936;30790.284;25047.256;26095.572;24822.06;2389.08;1372.56;2182.68;
173000;28790.239;24553.662;26988.414;27065.924;30891.681;25100.554;26177.523;24879.165;2402.97;1380.54;2195.37;
174000;28849.882;24617.556;27074.532;27131.912;30993.078;25153.852;26259.474;24936.27;2416.86;1388.52;2208.06;
175000;28909.525;24681.45;27160.65;27197.9;31094.475;25207.15;26341.425;24993.375;2430.75;1396.5;2220.75;
176000;28969.168;24745.344;27246.768;27263.888;31195.872;25260.448;26423.376;25050.48;2444.64;1404.48;2233.44;
