Kilometres;Dacia Sandero 1.2;Dacia Logan 1.2;Fiat Panda 1.3 d;Dacia Logan 1.5 dci;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Skoda Fabia 1.4 TDI;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Renault Clio III essence 75 ch;Toyota Yaris;Toyota Aygo 1.1
144000;28822.848;23598.21168;22850.672;25360.864;25690.656;25700.832;27412.29176;26517.51928;21638.624;23839.152;23570.208;30360.704;22418.096;
145000;28934.465;23682.5819;22909.01;25435.87;25747.605;25773.06;27492.57955;26575.62115;21713.545;23918.66;23658.89;30421.82;22488.43;
146000;29046.082;23766.95212;22967.348;25510.876;25804.554;25845.288;27572.86734;26633.72302;21788.466;23998.168;23747.572;30482.936;22558.764;
147000;29157.699;23851.32234;23025.686;25585.882;25861.503;25917.516;27653.15513;26691.82489;21863.387;24077.676;23836.254;30544.052;22629.098;
148000;29269.316;23935.69256;23084.024;25660.888;25918.452;25989.744;27733.44292;26749.92676;21938.308;24157.184;23924.936;30605.168;22699.432;
149000;29380.933;24020.06278;23142.362;25735.894;25975.401;26061.972;27813.73071;26808.02863;22013.229;24236.692;24013.618;30666.284;22769.766;
150000;29492.55;24104.433;23350.7;25810.9;26232.35;26134.2;28000.8185;26972.9305;22088.15;24316.2;24302.3;31467.4;22840.1;
151000;29604.167;24188.80322;23409.038;25885.906;26289.299;26206.428;28081.10629;27031.03237;22163.071;24395.708;24390.982;31528.516;22910.434;
152000;29715.784;24273.17344;23467.376;25960.912;26346.248;26278.656;28161.39408;27089.13424;22237.992;24475.216;24479.664;31589.632;22980.768;
153000;29827.401;24357.54366;23525.714;26035.918;26403.197;26350.884;28241.68187;27147.23611;22312.913;24554.724;24568.346;31650.748;23051.102;
154000;29939.018;24441.91388;23584.052;26110.924;26460.146;26423.112;28321.96966;27205.33798;22387.834;24634.232;24657.028;31711.864;23121.436;
155000;30050.635;24526.2841;23642.39;26185.93;26517.095;26495.34;28402.25745;27263.43985;22462.755;24713.74;24745.71;31772.98;23191.77;
156000;30162.252;24610.65432;23700.728;26260.936;26574.044;26567.568;28482.54524;27321.54172;22537.676;24793.248;24834.392;31834.096;23262.104;
157000;30273.869;24695.02454;23759.066;26335.942;26630.993;26639.796;28562.83303;27379.64359;22612.597;24872.756;24923.074;31895.212;23332.438;
