Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Renault Clio III essence 75 ch;
291000;41733.963;37087.194;35526.828;36726.989;41131.462;
292000;41795.956;37157.528;35606.336;36781.068;41220.144;
293000;41857.949;37227.862;35685.844;36835.147;41308.826;
294000;41919.942;37298.196;35765.352;36889.226;41422.508;
295000;41981.935;37368.53;35844.86;36943.305;41511.19;
296000;42043.928;37438.864;35924.368;36997.384;41599.872;
297000;42105.921;37509.198;36003.876;37051.463;41688.554;
298000;42167.914;37579.532;36083.384;37105.542;41777.236;
299000;42229.907;37649.866;36162.892;37159.621;41865.918;
300000;42546.9;37830.2;36242.4;37413.7;42154.6;
